--- Comunify Seeded & Registered Passwords --- 

[SEEDED] Role: super_admin (global) | Email: quisoft.in@gmail.com | Password: admin123 | Society: System
[SEEDED] Role: Super Admin | Email: superadmin@godrejwoodlandestate.quisoft.in | Password: superadmin_godrejwoodlandestate_pass | Society: Godrej Woodland Estate
[SEEDED] Role: Society Admin | Email: admin@godrejwoodlandestate.quisoft.in | Password: admin_godrejwoodlandestate_pass | Society: Godrej Woodland Estate
[SEEDED] Role: Security Guard | Email: guard@godrejwoodlandestate.quisoft.in | Password: guard_godrejwoodlandestate_pass | Society: Godrej Woodland Estate
[SEEDED] Role: Resident | Email: resident@godrejwoodlandestate.quisoft.in | Password: resident_godrejwoodlandestate_pass | Society: Godrej Woodland Estate
[SEEDED] Role: Super Admin | Email: superadmin@adarshpalmretreat.quisoft.in | Password: superadmin_adarshpalmretreat_pass | Society: Adarsh Palm Retreat
[SEEDED] Role: Society Admin | Email: admin@adarshpalmretreat.quisoft.in | Password: admin_adarshpalmretreat_pass | Society: Adarsh Palm Retreat
[SEEDED] Role: Security Guard | Email: guard@adarshpalmretreat.quisoft.in | Password: guard_adarshpalmretreat_pass | Society: Adarsh Palm Retreat
[SEEDED] Role: Resident | Email: resident@adarshpalmretreat.quisoft.in | Password: resident_adarshpalmretreat_pass | Society: Adarsh Palm Retreat
[SEEDED] Role: Super Admin | Email: superadmin@vaishnaviterraces.quisoft.in | Password: superadmin_vaishnaviterraces_pass | Society: Vaishnavi Terraces
[SEEDED] Role: Society Admin | Email: admin@vaishnaviterraces.quisoft.in | Password: admin_vaishnaviterraces_pass | Society: Vaishnavi Terraces
[SEEDED] Role: Security Guard | Email: guard@vaishnaviterraces.quisoft.in | Password: guard_vaishnaviterraces_pass | Society: Vaishnavi Terraces
[SEEDED] Role: Resident | Email: resident@vaishnaviterraces.quisoft.in | Password: resident_vaishnaviterraces_pass | Society: Vaishnavi Terraces
[SEEDED] Role: Super Admin | Email: superadmin@shriramchirpingwoods.quisoft.in | Password: superadmin_shriramchirpingwoods_pass | Society: Shriram Chirping Woods
[SEEDED] Role: Society Admin | Email: admin@shriramchirpingwoods.quisoft.in | Password: admin_shriramchirpingwoods_pass | Society: Shriram Chirping Woods
[SEEDED] Role: Security Guard | Email: guard@shriramchirpingwoods.quisoft.in | Password: guard_shriramchirpingwoods_pass | Society: Shriram Chirping Woods
[SEEDED] Role: Resident | Email: resident@shriramchirpingwoods.quisoft.in | Password: resident_shriramchirpingwoods_pass | Society: Shriram Chirping Woods
[SEEDED] Role: Super Admin | Email: superadmin@adanishantigramwaterlily.quisoft.in | Password: superadmin_adanishantigramwaterlily_pass | Society: Adani Shantigram Water Lily
[SEEDED] Role: Society Admin | Email: admin@adanishantigramwaterlily.quisoft.in | Password: admin_adanishantigramwaterlily_pass | Society: Adani Shantigram Water Lily
[SEEDED] Role: Security Guard | Email: guard@adanishantigramwaterlily.quisoft.in | Password: guard_adanishantigramwaterlily_pass | Society: Adani Shantigram Water Lily
[SEEDED] Role: Resident | Email: resident@adanishantigramwaterlily.quisoft.in | Password: resident_adanishantigramwaterlily_pass | Society: Adani Shantigram Water Lily
[SEEDED] Role: Super Admin | Email: superadmin@arvinduplandspremiumpavilion.quisoft.in | Password: superadmin_arvinduplandspremiumpavilion_pass | Society: Arvind Uplands Premium Pavilion
[SEEDED] Role: Society Admin | Email: admin@arvinduplandspremiumpavilion.quisoft.in | Password: admin_arvinduplandspremiumpavilion_pass | Society: Arvind Uplands Premium Pavilion
[SEEDED] Role: Security Guard | Email: guard@arvinduplandspremiumpavilion.quisoft.in | Password: guard_arvinduplandspremiumpavilion_pass | Society: Arvind Uplands Premium Pavilion
[SEEDED] Role: Resident | Email: resident@arvinduplandspremiumpavilion.quisoft.in | Password: resident_arvinduplandspremiumpavilion_pass | Society: Arvind Uplands Premium Pavilion
[SEEDED] Role: Super Admin | Email: superadmin@goyalcorivieraelite.quisoft.in | Password: superadmin_goyalcorivieraelite_pass | Society: Goyal & Co. Riviera Elite
[SEEDED] Role: Society Admin | Email: admin@goyalcorivieraelite.quisoft.in | Password: admin_goyalcorivieraelite_pass | Society: Goyal & Co. Riviera Elite
[SEEDED] Role: Security Guard | Email: guard@goyalcorivieraelite.quisoft.in | Password: guard_goyalcorivieraelite_pass | Society: Goyal & Co. Riviera Elite
[SEEDED] Role: Resident | Email: resident@goyalcorivieraelite.quisoft.in | Password: resident_goyalcorivieraelite_pass | Society: Goyal & Co. Riviera Elite
[SEEDED] Role: Super Admin | Email: superadmin@shaligramprimeroyale.quisoft.in | Password: superadmin_shaligramprimeroyale_pass | Society: Shaligram Prime Royale
[SEEDED] Role: Society Admin | Email: admin@shaligramprimeroyale.quisoft.in | Password: admin_shaligramprimeroyale_pass | Society: Shaligram Prime Royale
[SEEDED] Role: Security Guard | Email: guard@shaligramprimeroyale.quisoft.in | Password: guard_shaligramprimeroyale_pass | Society: Shaligram Prime Royale
[SEEDED] Role: Resident | Email: resident@shaligramprimeroyale.quisoft.in | Password: resident_shaligramprimeroyale_pass | Society: Shaligram Prime Royale
[SEEDED] Role: Super Admin | Email: superadmin@isconplatinumtowers.quisoft.in | Password: superadmin_isconplatinumtowers_pass | Society: Iscon Platinum Towers
[SEEDED] Role: Society Admin | Email: admin@isconplatinumtowers.quisoft.in | Password: admin_isconplatinumtowers_pass | Society: Iscon Platinum Towers
[SEEDED] Role: Security Guard | Email: guard@isconplatinumtowers.quisoft.in | Password: guard_isconplatinumtowers_pass | Society: Iscon Platinum Towers
[SEEDED] Role: Resident | Email: resident@isconplatinumtowers.quisoft.in | Password: resident_isconplatinumtowers_pass | Society: Iscon Platinum Towers
[SEEDED] Role: Super Admin | Email: superadmin@sangathsilversky.quisoft.in | Password: superadmin_sangathsilversky_pass | Society: Sangath Silver Sky
[SEEDED] Role: Society Admin | Email: admin@sangathsilversky.quisoft.in | Password: admin_sangathsilversky_pass | Society: Sangath Silver Sky
[SEEDED] Role: Security Guard | Email: guard@sangathsilversky.quisoft.in | Password: guard_sangathsilversky_pass | Society: Sangath Silver Sky
[SEEDED] Role: Resident | Email: resident@sangathsilversky.quisoft.in | Password: resident_sangathsilversky_pass | Society: Sangath Silver Sky
[SEEDED] Role: Super Admin | Email: superadmin@venusrivieraenclave.quisoft.in | Password: superadmin_venusrivieraenclave_pass | Society: Venus Riviera Enclave
[SEEDED] Role: Society Admin | Email: admin@venusrivieraenclave.quisoft.in | Password: admin_venusrivieraenclave_pass | Society: Venus Riviera Enclave
[SEEDED] Role: Security Guard | Email: guard@venusrivieraenclave.quisoft.in | Password: guard_venusrivieraenclave_pass | Society: Venus Riviera Enclave
[SEEDED] Role: Resident | Email: resident@venusrivieraenclave.quisoft.in | Password: resident_venusrivieraenclave_pass | Society: Venus Riviera Enclave
[SEEDED] Role: Super Admin | Email: superadmin@rajhanselitapremium.quisoft.in | Password: superadmin_rajhanselitapremium_pass | Society: Rajhans Elita Premium
[SEEDED] Role: Society Admin | Email: admin@rajhanselitapremium.quisoft.in | Password: admin_rajhanselitapremium_pass | Society: Rajhans Elita Premium
[SEEDED] Role: Security Guard | Email: guard@rajhanselitapremium.quisoft.in | Password: guard_rajhanselitapremium_pass | Society: Rajhans Elita Premium
[SEEDED] Role: Resident | Email: resident@rajhanselitapremium.quisoft.in | Password: resident_rajhanselitapremium_pass | Society: Rajhans Elita Premium
[SEEDED] Role: Super Admin | Email: superadmin@greengroupsignaturetowers.quisoft.in | Password: superadmin_greengroupsignaturetowers_pass | Society: Green Group Signature Towers
[SEEDED] Role: Society Admin | Email: admin@greengroupsignaturetowers.quisoft.in | Password: admin_greengroupsignaturetowers_pass | Society: Green Group Signature Towers
[SEEDED] Role: Security Guard | Email: guard@greengroupsignaturetowers.quisoft.in | Password: guard_greengroupsignaturetowers_pass | Society: Green Group Signature Towers
[SEEDED] Role: Resident | Email: resident@greengroupsignaturetowers.quisoft.in | Password: resident_greengroupsignaturetowers_pass | Society: Green Group Signature Towers
[SEEDED] Role: Super Admin | Email: superadmin@avadhviceroyresidences.quisoft.in | Password: superadmin_avadhviceroyresidences_pass | Society: Avadh Viceroy Residences
[SEEDED] Role: Society Admin | Email: admin@avadhviceroyresidences.quisoft.in | Password: admin_avadhviceroyresidences_pass | Society: Avadh Viceroy Residences
[SEEDED] Role: Security Guard | Email: guard@avadhviceroyresidences.quisoft.in | Password: guard_avadhviceroyresidences_pass | Society: Avadh Viceroy Residences
[SEEDED] Role: Resident | Email: resident@avadhviceroyresidences.quisoft.in | Password: resident_avadhviceroyresidences_pass | Society: Avadh Viceroy Residences
[SEEDED] Role: Super Admin | Email: superadmin@sunrealitysolitaire.quisoft.in | Password: superadmin_sunrealitysolitaire_pass | Society: Sun Reality Solitaire
[SEEDED] Role: Society Admin | Email: admin@sunrealitysolitaire.quisoft.in | Password: admin_sunrealitysolitaire_pass | Society: Sun Reality Solitaire
[SEEDED] Role: Security Guard | Email: guard@sunrealitysolitaire.quisoft.in | Password: guard_sunrealitysolitaire_pass | Society: Sun Reality Solitaire
[SEEDED] Role: Resident | Email: resident@sunrealitysolitaire.quisoft.in | Password: resident_sunrealitysolitaire_pass | Society: Sun Reality Solitaire
[SEEDED] Role: Super Admin | Email: superadmin@happyhomecelebritygreens.quisoft.in | Password: superadmin_happyhomecelebritygreens_pass | Society: Happy Home Celebrity Greens
[SEEDED] Role: Society Admin | Email: admin@happyhomecelebritygreens.quisoft.in | Password: admin_happyhomecelebritygreens_pass | Society: Happy Home Celebrity Greens
[SEEDED] Role: Security Guard | Email: guard@happyhomecelebritygreens.quisoft.in | Password: guard_happyhomecelebritygreens_pass | Society: Happy Home Celebrity Greens
[SEEDED] Role: Resident | Email: resident@happyhomecelebritygreens.quisoft.in | Password: resident_happyhomecelebritygreens_pass | Society: Happy Home Celebrity Greens
[SEEDED] Role: Super Admin | Email: superadmin@alembickiararoyalresidency.quisoft.in | Password: superadmin_alembickiararoyalresidency_pass | Society: Alembic Kiara Royal Residency
[SEEDED] Role: Society Admin | Email: admin@alembickiararoyalresidency.quisoft.in | Password: admin_alembickiararoyalresidency_pass | Society: Alembic Kiara Royal Residency
[SEEDED] Role: Security Guard | Email: guard@alembickiararoyalresidency.quisoft.in | Password: guard_alembickiararoyalresidency_pass | Society: Alembic Kiara Royal Residency
[SEEDED] Role: Resident | Email: resident@alembickiararoyalresidency.quisoft.in | Password: resident_alembickiararoyalresidency_pass | Society: Alembic Kiara Royal Residency
[SEEDED] Role: Super Admin | Email: superadmin@narayanheritagesquare.quisoft.in | Password: superadmin_narayanheritagesquare_pass | Society: Narayan Heritage Square
[SEEDED] Role: Society Admin | Email: admin@narayanheritagesquare.quisoft.in | Password: admin_narayanheritagesquare_pass | Society: Narayan Heritage Square
[SEEDED] Role: Security Guard | Email: guard@narayanheritagesquare.quisoft.in | Password: guard_narayanheritagesquare_pass | Society: Narayan Heritage Square
[SEEDED] Role: Resident | Email: resident@narayanheritagesquare.quisoft.in | Password: resident_narayanheritagesquare_pass | Society: Narayan Heritage Square
[SEEDED] Role: Super Admin | Email: superadmin@woodsidepremiumorchards.quisoft.in | Password: superadmin_woodsidepremiumorchards_pass | Society: Woodside Premium Orchards
[SEEDED] Role: Society Admin | Email: admin@woodsidepremiumorchards.quisoft.in | Password: admin_woodsidepremiumorchards_pass | Society: Woodside Premium Orchards
[SEEDED] Role: Security Guard | Email: guard@woodsidepremiumorchards.quisoft.in | Password: guard_woodsidepremiumorchards_pass | Society: Woodside Premium Orchards
[SEEDED] Role: Resident | Email: resident@woodsidepremiumorchards.quisoft.in | Password: resident_woodsidepremiumorchards_pass | Society: Woodside Premium Orchards
